
2023-01-05 10:00:00,22 sp 89, sampson county ,property being located at 215 powell street clinton north carolina.   [pin: 12025,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327855 ,327855
2023-01-11 13:00:00,22 sp 94, mcdowell county ,commonly known as 61 sloan st old fort nc 28762,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327801 ,327801
2023-01-03 11:00:00,22 sp 96, iredell county ,commonly known as 233 culp street mooresville nc 28115,980-201-3840,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327798 ,327798
2022-01-10 10:00:00,22 sp 16, cleveland county ,property being located at 1010 college avenue shelby nc,404-745-8121,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327719 ,327719
2023-01-10 12:00:00,22 sp 267, catawba county ,property being located at 602 14th street southwest hickory north carolina,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327713 ,327713
Couldn't locate date of sale,22 sp 158, beaufort county ,address of 70 moon road washington nc,919-829-0799,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv455525&FileName=ClassAd-1564149-1.pdf ,327701
Couldn't locate date of sale,22 sp 20, hertford county ,,980-201-3840,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv455317&FileName=ClassAd-1565051-1.pdf ,327682
2023-01-04 14:30:00,22 sp 104, burke county ,property being located at 108 evans street morganton north carolina.   back references: book 1100 page 703 and book 779 page 1730 all of the burke county registry.  the above described property is identified in the burke county tax collector's office as pin. 27032,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=327122 ,327122
Couldn't locate date of sale,19 sp 17, currituck county ,,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv454598&FileName=ClassAd-435656-1.pdf ,327067
2023-01-03 12:00:00,22 sp 347, catawba county ,property being located at 520 west pine street maiden north carolina,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=326915 ,326915
Couldn't locate date of sale,Case number not found, pitt county ,,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv454599&FileName=ClassAd-435306-1.pdf ,326900
2023-01-05 10:00:00,22 sp 4, harnett county ,commonly known as 128 country pl sanford nc 27330,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=326709 ,326709
2023-01-03 13:30:00,22 sp 277, burke county ,address of property: 7609 virginia ridge (pin 2648-94-3261) and 7625 virginia ridge (pin 2648-94-4031) connelly springs nc 28612,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=326572 ,326572
2023-01-03 10:00:00,Case number not found, vance county ,address of property: 310 mitchell st henderson nc 27536,704-970-0391,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=326540 ,326540
2023-01-04 14:00:00,22 sp 91, carolina county ,commonly known as: 1308 crew street roanoke rapids nc 27870,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/Details.aspx?SID=p30q4jl5lnjktj3xp1dibpwv&ID=326539 ,326539
Couldn't locate date of sale,22 sp 78, currituck county ,,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv453881&FileName=ClassAd-435754-1.pdf ,326483
Couldn't locate date of sale,21 sp 48, pasquotank county ,,,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv453880&FileName=ClassAd-435557-1.pdf ,326353
Couldn't locate date of sale,22 sp 79, edgecombe county ,,919-829-0799,No Trailer,https://www.ncnotices.com/(S(p30q4jl5lnjktj3xp1dibpwv))/PDFDocument.aspx?SID=p30q4jl5lnjktj3xp1dibpwv453952&FileName=ClassAd-435493-1.pdf ,326164
